
> Task :compileJava

> Task :processResources NO-SOURCE
> Task :classes

> Task :run
algorithmName,arraySize,arrayType,shufflePercentage,isInverted,timeTaken
assignment1.BubbleSortPassPerItem@14dad5dc,2466,Integer,100,true,72769836
assignment1.BubbleSortUntilNoChange@330bedb4,2466,Integer,100,true,70765012
assignment1.BubbleSortWhileNeeded@2503dbd3,2466,Integer,100,true,57256645
assignment1.BubbleSortPassPerItem@14dad5dc,2466,Integer,25,false,42368020
assignment1.BubbleSortUntilNoChange@330bedb4,2466,Integer,25,false,42870877
assignment1.BubbleSortWhileNeeded@2503dbd3,2466,Integer,25,false,29310386
assignment1.BubbleSortPassPerItem@14dad5dc,2466,Integer,50,false,32978080
assignment1.BubbleSortUntilNoChange@330bedb4,2466,Integer,50,false,40987437
assignment1.BubbleSortWhileNeeded@2503dbd3,2466,Integer,50,false,24108330
assignment1.BubbleSortPassPerItem@14dad5dc,2466,Integer,75,false,35160762
assignment1.BubbleSortUntilNoChange@330bedb4,2466,Integer,75,false,44879196
assignment1.BubbleSortWhileNeeded@2503dbd3,2466,Integer,75,false,26443334
assignment1.BubbleSortPassPerItem@14dad5dc,7055,Integer,100,true,267680364
assignment1.BubbleSortUntilNoChange@330bedb4,7055,Integer,100,true,300168624
assignment1.BubbleSortWhileNeeded@2503dbd3,7055,Integer,100,true,174287643
assignment1.BubbleSortPassPerItem@14dad5dc,7055,Integer,25,false,288967094
assignment1.BubbleSortUntilNoChange@330bedb4,7055,Integer,25,false,349338987
assignment1.BubbleSortWhileNeeded@2503dbd3,7055,Integer,25,false,179930623
assignment1.BubbleSortPassPerItem@14dad5dc,7055,Integer,50,false,259704322
assignment1.BubbleSortUntilNoChange@330bedb4,7055,Integer,50,false,316558468
assignment1.BubbleSortWhileNeeded@2503dbd3,7055,Integer,50,false,176706285
assignment1.BubbleSortPassPerItem@14dad5dc,7055,Integer,75,false,274742236
assignment1.BubbleSortUntilNoChange@330bedb4,7055,Integer,75,false,332735756
assignment1.BubbleSortWhileNeeded@2503dbd3,7055,Integer,75,false,201771084
assignment1.BubbleSortPassPerItem@14dad5dc,4198,Integer,100,true,84051423
assignment1.BubbleSortUntilNoChange@330bedb4,4198,Integer,100,true,98307706
assignment1.BubbleSortWhileNeeded@2503dbd3,4198,Integer,100,true,66815659
assignment1.BubbleSortPassPerItem@14dad5dc,4198,Integer,25,false,98138078
assignment1.BubbleSortUntilNoChange@330bedb4,4198,Integer,25,false,150309038
assignment1.BubbleSortWhileNeeded@2503dbd3,4198,Integer,25,false,70819512
assignment1.BubbleSortPassPerItem@14dad5dc,4198,Integer,50,false,102446635
assignment1.BubbleSortUntilNoChange@330bedb4,4198,Integer,50,false,127485676
assignment1.BubbleSortWhileNeeded@2503dbd3,4198,Integer,50,false,71041899
assignment1.BubbleSortPassPerItem@14dad5dc,4198,Integer,75,false,104527102
assignment1.BubbleSortUntilNoChange@330bedb4,4198,Integer,75,false,132677397
assignment1.BubbleSortWhileNeeded@2503dbd3,4198,Integer,75,false,79957793
assignment1.BubbleSortPassPerItem@14dad5dc,8068,Integer,100,true,328476309
assignment1.BubbleSortUntilNoChange@330bedb4,8068,Integer,100,true,349580645
assignment1.BubbleSortWhileNeeded@2503dbd3,8068,Integer,100,true,195999165
assignment1.BubbleSortPassPerItem@14dad5dc,8068,Integer,25,false,316793682
assignment1.BubbleSortUntilNoChange@330bedb4,8068,Integer,25,false,381569766
assignment1.BubbleSortWhileNeeded@2503dbd3,8068,Integer,25,false,221524532
assignment1.BubbleSortPassPerItem@14dad5dc,8068,Integer,50,false,329777014
